"Time [s]","Event Name","Chamber","Event Text","1A: O2 flux per V [pmol/(s*mL)]","1B: O2 flux per V [pmol/(s*mL)]"
1484.00,"","","",22.8508,7.1853
1486.00,"","","",22.8513,7.1857
1488.00,"","","",22.7096,7.1862
1490.00,"","","",22.7101,7.1868
1492.00,"","","",22.5685,7.1875
1494.00,"","","",22.5691,7.1880
1496.00,"","","",22.4274,7.1882
1498.00,"","","",22.4279,7.1887
1500.00,"","","",22.4284,7.3379
1502.00,"","","",22.2869,7.3379
1504.00,"","","",22.2874,7.1893
1506.00,"","","",22.2878,7.1898
1508.00,"","","",22.2882,7.1903
1510.00,"","","",22.1465,7.1909
1512.00,"","","",22.1470,7.3406
1514.00,"","","",22.1476,7.3412
1516.00,"","","",22.0059,7.3415
1518.00,"","","",22.0065,7.4906
1520.00,"","","",21.8649,7.4907
1522.00,"","","",21.8656,7.4912
1524.00,"","","",21.8662,7.6402
1526.00,"","","",21.8668,7.6405
1528.00,"","","",21.8673,7.6412
1530.00,"","","",22.0099,7.6415
1532.00,"","","",22.1525,7.6419
1534.00,"","","",22.1529,7.6424
1536.00,"","","",22.2956,7.6429
1538.00,"","","",22.2962,7.6432
1540.00,"","","",22.2966,7.6436
1542.00,"","","",22.2972,7.6442
1544.00,"","","",22.4397,7.6448
1546.00,"","","",22.4403,7.6449
1548.00,"","","",22.4409,7.6452
1550.00,"","","",22.4414,7.6457
1552.00,"","","",22.4418,7.6461
1554.00,"","","",22.4422,7.6465
1556.00,"","","",22.4428,7.6472
1558.00,"","","",22.4436,7.6476
1560.00,"","","",22.5863,7.6479
1562.00,"","","",22.5867,7.6482
1564.00,"","","",22.7293,7.6486
1566.00,"","","",22.7297,7.5000
1568.00,"","","",22.7302,7.5004
1570.00,"","","",22.7307,7.5011
1572.00,"","","",22.7314,7.5014
1574.00,"","","",22.7319,7.5017
1576.00,"","","",22.7322,7.5022
1578.00,"","","",22.7329,7.6516
1580.00,"","","",22.7335,7.6520
1582.00,"","","",22.7338,7.6523
1584.00,"","","",22.7343,7.5039
1586.00,"","","",22.7347,7.5044
1588.00,"","","",22.7351,7.5046
1590.00,"","","",22.5935,7.5050
1592.00,"","","",22.4519,7.5057
1594.00,"","","",22.4526,7.5059
1596.00,"","","",22.4533,7.6550
1598.00,"","","",22.3115,7.6553
1600.00,"","","",22.3119,7.5069
1602.00,"","","",22.3123,7.5073
1604.00,"","","",22.1707,7.5075
1606.00,"","","",22.1712,7.5078
1608.00,"","","",22.1718,7.3594
1610.00,"","","",22.1724,7.3600
1612.00,"","","",22.1729,7.3603
1614.00,"","","",22.1733,7.3607
1616.00,"","","",22.1739,7.2125
1618.00,"","","",22.1744,7.2130
1620.00,"","","",22.1749,7.2131
1622.00,"","","",22.1754,7.2134
1624.00,"","","",22.0338,7.2138
1626.00,"","","",22.0344,7.2141
1628.00,"","","",22.0348,7.0655
1630.00,"","","",22.0353,7.0658
1632.00,"","","",22.0359,7.0665
1634.00,"","","",22.0365,7.0669
1636.00,"","","",22.0370,7.0675
1638.00,"","","",22.1796,7.0681
1640.00,"","","",22.1802,7.0682
1642.00,"","","",22.1806,7.0681
1644.00,"","","",22.1810,7.0683
1646.00,"","","",22.1815,6.9201
1648.00,"","","",22.1820,6.9205
1650.00,"","","",22.1824,6.9210
1652.00,"","","",22.1830,6.9215
1654.00,"","","",22.1836,6.9220
1656.00,"","","",22.1842,6.9226
1658.00,"","","",22.3269,6.9229
1660.00,"","","",22.3273,6.9231
1662.00,"","","",22.3278,6.9236
1664.00,"","","",22.3282,6.9240
1666.00,"","","",22.3287,7.0732
1668.00,"","","",22.3294,7.0734
1670.00,"","","",22.3299,7.0738
1672.00,"","","",22.3304,7.0741
1674.00,"","","",22.3310,7.0745
1676.00,"","","",22.4735,7.0750
1678.00,"","","",22.4740,7.0757
1680.00,"","","",22.4744,7.0765
1682.00,"","","",22.3327,7.2257
1684.00,"","","",22.3333,7.2260
1686.00,"","","",22.3338,7.2265
1688.00,"","","",22.3343,7.2267
1690.00,"","","",22.1927,7.3758
1692.00,"","","",22.1930,7.3761
1694.00,"","","",22.1935,7.3763
1696.00,"","","",22.0519,7.3766
1698.00,"","","",22.0524,7.3772
1700.00,"","","",22.0531,7.3776
1702.00,"","","",22.0537,7.3780
1704.00,"","","",22.0542,7.3785
1706.00,"","","",22.0547,7.3789
1708.00,"","","",22.0552,7.3793
1710.00,"","","",22.0556,7.3796
1712.00,"","","",22.0561,7.2310
1714.00,"","","",22.0568,7.2313
1716.00,"","","",22.0574,7.2316
1718.00,"","","",22.2000,7.2318
1720.00,"","","",22.2006,7.2321
1722.00,"","","",22.3432,7.0835
1724.00,"","","",22.3436,7.0840
1726.00,"","","",22.2018,6.9359
1728.00,"","","",22.2022,6.9363
1730.00,"","","",22.2028,6.9368
1732.00,"","","",22.2033,6.9373
1734.00,"","","",22.2040,6.9377
1736.00,"","","",22.2046,6.9382
1738.00,"","","",22.2049,6.9384
1740.00,"","","",22.2053,6.9386
1742.00,"","","",22.2058,6.9393
1744.00,"","","",22.2064,6.9396
1746.00,"","","",22.2069,6.9398
1748.00,"","","",22.2074,6.9400
1750.00,"","","",22.2077,6.9404
1752.00,"","","",22.2083,6.7920
1754.00,"","","",22.2090,6.7923
1756.00,"","","",22.2094,6.7926
1758.00,"","","",22.2099,6.7930
1760.00,"","","",22.2104,6.7933
1762.00,"","","",22.2110,6.7936
1764.00,"","","",22.2115,6.7941
1766.00,"","","",22.2120,6.7945
1768.00,"","","",22.2126,6.7948
1770.00,"","","",22.2130,6.7950
1772.00,"","","",22.2135,6.7955
1774.00,"","","",22.2140,6.7961
1776.00,"","","",22.0724,6.7966
1778.00,"","","",22.0730,6.7971
1780.00,"","","",22.0734,6.7974
1782.00,"","","",22.0737,6.7978
1784.00,"","","",22.0743,6.7982
1786.00,"","","",22.0749,6.9474
1788.00,"","","",22.0754,6.9476
1790.00,"","","",21.9338,6.9483
1792.00,"","","",21.9344,6.9489
1794.00,"","","",22.0771,7.0981
1796.00,"","","",22.0776,7.0982
1798.00,"","","",22.2205,6.9494
1800.00,"","","",22.3632,6.9496
1802.00,"","","",22.3634,6.8012
1804.00,"","","",22.3638,6.8017
1806.00,"","","",22.3643,6.8019
1808.00,"","","",22.3646,6.8024
1810.00,"","","",22.2229,6.6540
1812.00,"","","",22.2235,6.6543
1814.00,"","","",22.2241,6.6545
1816.00,"","","",22.3669,6.8038
1818.00,"","","",22.3675,6.8042
1820.00,"","","",22.3680,6.8047
1822.00,"","","",22.3685,6.8053
1824.00,"","","",22.3689,6.8058
1826.00,"","","",22.3694,6.8062
1828.00,"","","",22.3699,6.9555
1830.00,"","","",22.3702,6.9562
1832.00,"","","",22.2285,6.9566
1834.00,"","","",22.2292,7.1058
1836.00,"","","",22.2298,7.1060
1838.00,"","","",22.2304,7.1061
1840.00,"","","",22.2308,7.1064
1842.00,"","","",22.2314,7.1072
1844.00,"","","",22.2318,7.1077
1846.00,"","","",22.2323,7.1078
1848.00,"","","",22.2329,7.1082
1850.00,"","","",22.2335,7.1085
1852.00,"","","",22.2340,7.1088
1854.00,"","","",22.3766,7.1094
1856.00,"","","",22.2349,7.1097
1858.00,"","","",22.2353,7.1101
1860.00,"","","",22.2358,7.1108
1862.00,"","","",22.2363,7.2602
1864.00,"","","",22.0947,7.2605
1866.00,"","","",22.0951,7.2606
1868.00,"","","",22.0956,7.2609
1870.00,"","","",21.9540,7.2615
1872.00,"","","",21.9546,7.4104
1874.00,"","","",22.0974,7.4104
1876.00,"","","",22.0979,7.4110
1878.00,"","","",22.0984,7.2626
1880.00,"","","",22.2409,7.2632
1882.00,"","","",22.2414,7.2638
1884.00,"","","",22.2420,7.2643
1886.00,"","","",22.2424,7.2645
1888.00,"","","",22.2429,7.2647
1890.00,"","","",22.1014,7.2650
1892.00,"","","",22.1019,7.1167
1894.00,"","","",22.1023,7.1171
1896.00,"","","",22.1028,7.1175
1898.00,"","","",22.1033,7.1178
1900.00,"","","",22.1039,6.9692
1902.00,"","","",22.2465,6.9695
1904.00,"","","",22.2471,6.9699
1906.00,"","","",22.2475,6.9704
1908.00,"","","",22.2482,6.9709
1910.00,"","","",22.2487,6.9712
1912.00,"","","",22.2492,6.9715
1914.00,"","","",22.2495,6.9718
1916.00,"","","",22.2499,6.9723
1918.00,"","","",22.2504,6.9728
1920.00,"","","",22.2511,6.8242
1922.00,"","","",22.2517,6.8243
1924.00,"","","",22.2521,6.8244
1926.00,"","","",22.2526,6.8248
1928.00,"","","",22.2530,6.8256
1930.00,"","","",22.2536,6.8260
1932.00,"","","",22.2541,6.6775
1934.00,"","","",22.2546,6.6779
1936.00,"","","",22.2552,6.6783
1938.00,"","","",22.3979,6.6787
1940.00,"","","",22.3985,6.6791
1942.00,"","","",22.3990,6.8282
1944.00,"","","",22.3995,6.8286
1946.00,"","","",22.4000,6.8292
1948.00,"","","",22.4005,6.8298
1950.00,"","","",22.2586,6.9793
1952.00,"","","",22.2591,6.9796
1954.00,"","","",22.2596,6.9799
1956.00,"","","",22.2601,6.9804
1958.00,"","","",22.2606,6.9807
1960.00,"","","",22.2610,6.9810
1962.00,"","","",22.1195,7.1302
1964.00,"","","",22.1200,7.1306
1966.00,"","","",22.1203,7.1309
1968.00,"","","",22.1209,7.1313
1970.00,"","","",22.1215,7.1317
1972.00,"","","",21.9799,7.1320
1974.00,"","","",21.9804,7.2813
1976.00,"","","",21.9808,7.2815
1978.00,"","","",21.9813,7.2819
1980.00,"","","",21.9819,7.2821
1982.00,"","","",21.9825,7.1336
1984.00,"","","",21.9830,7.1341
1986.00,"","","",21.9836,7.1344
1988.00,"","","",21.9842,7.1348
1990.00,"","","",22.1268,7.1350
1992.00,"","","",22.1271,7.1354
1994.00,"","","",22.1275,6.9869
1996.00,"","","",21.9860,6.9874
1998.00,"","","",21.9865,7.1370
2000.00,"","","",21.9869,7.1375
2002.00,"","","",21.9875,7.1381
2004.00,"","","",21.9878,7.1386
2006.00,"","","",21.9884,7.1389
2008.00,"","","",21.9890,7.1389
2010.00,"","","",21.9895,6.9902
2012.00,"","","",21.9901,6.9906
2014.00,"","","",21.9907,6.9913
2016.00,"","","",21.9911,6.9919
2018.00,"","","",21.9915,6.9922
2020.00,"","","",21.9920,6.9926
2022.00,"","","",22.1346,6.9932
2024.00,"","","",22.1351,6.9935
2026.00,"","","",22.1356,6.9937
2028.00,"","","",22.1361,6.9938
2030.00,"","","",22.1366,6.9941
2032.00,"","","",22.1370,6.9945
2034.00,"","","",22.1375,6.9948
2036.00,"","","",22.1380,6.9952
2038.00,"","","",21.9964,7.1447
2040.00,"","","",21.9969,7.1451
2042.00,"","","",21.9976,7.1456
2044.00,"","","",21.9981,7.1458
2046.00,"","","",21.9985,7.1463
2048.00,"","","",21.9990,7.1468
2050.00,"","","",21.9996,7.2961
2052.00,"","","",22.0001,7.2967
2054.00,"","","",22.0005,7.2970
2056.00,"","","",22.0011,7.2971
2058.00,"","","",22.0016,7.2976
2060.00,"","","",22.0021,7.2979
2062.00,"","","",21.8604,7.2983
2064.00,"","","",21.8607,7.2986
2066.00,"","","",21.8611,7.2992
2068.00,"","","",21.8616,7.2997
2070.00,"","","",21.8623,7.3000
2072.00,"","","",21.8629,7.1513
2074.00,"","","",21.8635,7.1516
2076.00,"","","",22.0062,7.1522
2078.00,"","","",22.0065,7.1527
2080.00,"","","",21.8647,7.1530
2082.00,"","","",21.8652,7.1533
2084.00,"","","",21.8657,7.1535
2086.00,"","","",21.7240,7.1540
2088.00,"","","",21.7244,7.1544
2090.00,"","","",21.7250,7.1547
2092.00,"","","",21.7255,7.0064
2094.00,"","","",21.7261,7.1558
2096.00,"","","",21.7265,7.1563
2098.00,"","","",21.7270,7.1566
2100.00,"","","",21.7277,7.1571
2102.00,"","","",21.7283,7.3063
2104.00,"","","",21.7288,7.3067
2106.00,"","","",21.7293,7.3069
2108.00,"","","",21.8720,7.3071
2110.00,"","","",21.8725,7.3072
2112.00,"","","",21.8729,7.1586
2114.00,"","","",21.8734,7.0099
2116.00,"","","",21.8739,7.0101
2118.00,"","","",21.8744,6.8617
2120.00,"","","",21.8748,6.8624
2122.00,"","","",21.7329,6.8631
2124.00,"","","",21.7334,6.8635
2126.00,"","","",21.7339,6.8640
2128.00,"","","",21.7343,6.7155
2130.00,"","","",21.7350,6.8647
2132.00,"","","",21.7357,6.8649
2134.00,"","","",21.7361,6.8651
2136.00,"","","",21.7368,6.7166
2138.00,"","","",21.8795,6.7172
2140.00,"","","",21.8800,6.7178
2142.00,"","","",22.0225,6.8671
2144.00,"","","",22.0230,6.8677
2146.00,"","","",22.0235,6.8681
2148.00,"","","",22.0240,6.8684
2150.00,"","","",22.0244,7.0177
2152.00,"","","",22.0249,7.0181
2154.00,"","","",22.0254,7.0183
2156.00,"","","",22.1681,7.0185
2158.00,"","","",22.1685,7.0186
2160.00,"","","",22.0268,7.0190
2162.00,"","","",22.0273,7.0195
2164.00,"","","",22.0278,6.8710
2166.00,"","","",22.0285,6.8714
2168.00,"","","",22.0288,6.8719
2170.00,"","","",21.8872,6.8722
2172.00,"","","",21.8877,6.8727
2174.00,"","","",21.8882,7.0221
2176.00,"","","",21.8889,7.0224
2178.00,"","","",21.8893,7.0225
2180.00,"","","",21.7476,7.0229
2182.00,"","","",21.7480,7.0229
2184.00,"","","",21.7484,7.0230
2186.00,"","","",21.7489,7.0232
2188.00,"","","",21.7495,7.0240
2190.00,"","","",21.7500,7.0246
2192.00,"","","",21.7504,6.8764
2194.00,"","","",21.7510,6.8767
2196.00,"","","",21.7515,6.8771
2198.00,"","","",21.8942,6.7288
2200.00,"","","",21.8947,6.7293
2202.00,"","","",21.7531,6.8785
2204.00,"","","",21.7538,6.7296
2206.00,"","","",21.7543,6.7300
2208.00,"","","",21.7547,6.7303
2210.00,"","","",21.7552,6.7309
2212.00,"","","",21.7556,6.7314
2214.00,"","","",21.7560,6.7317
2216.00,"","","",21.7565,6.7319
2218.00,"","","",21.7570,6.7323
2220.00,"","","",21.7575,6.7328
2222.00,"","","",21.7581,6.7331
2224.00,"","","",21.7586,6.7334
2226.00,"","","",21.9012,6.7336
2228.00,"","","",21.9016,6.7339
2230.00,"","","",21.9021,6.7343
2232.00,"","","",21.9026,6.8838
2234.00,"","","",21.9031,6.8842
2236.00,"","","",21.9035,6.8844
2238.00,"","","",21.9041,6.7357
2240.00,"","","",21.7625,6.7360
2242.00,"","","",21.7629,6.7365
2244.00,"","","",21.7635,6.7370
2246.00,"","","",21.7640,6.7371
2248.00,"","","",21.7644,6.7372
2250.00,"","","",21.7649,6.5887
2252.00,"","","",21.7654,6.5892
2254.00,"","","",21.7659,6.5897
2256.00,"","","",21.7664,6.5900
2258.00,"","","",21.7668,6.5905
2260.00,"","","",21.7674,6.5908
2262.00,"","","",21.7679,6.5911
2264.00,"","","",21.7685,6.4428
2266.00,"","","",21.7690,6.4431
2268.00,"","","",21.7695,6.2944
2270.00,"","","",21.7698,6.2950
2272.00,"","","",21.6280,6.2955
2274.00,"","","",21.6286,6.2960
2276.00,"","","",21.4870,6.4454
2278.00,"","","",21.4875,6.4459
2280.00,"","","",21.4881,6.5949
2282.00,"","","",21.4885,6.5952
2284.00,"","","",21.4889,6.5956
2286.00,"","","",21.4895,6.5960
2288.00,"","","",21.6321,6.5964
2290.00,"","","",21.6327,6.7458
2292.00,"","","",21.6332,6.7463
2294.00,"","","",21.6338,6.8954
2296.00,"","","",21.6343,6.8956
2298.00,"","","",21.6347,6.8958
2300.00,"","","",21.6352,6.8961
2302.00,"","","",21.6357,6.8966
2304.00,"","","",21.7783,7.0461
2306.00,"","","",21.7789,7.0466
2308.00,"","","",21.7793,7.0467
2310.00,"","","",21.7798,7.0469
2312.00,"","","",21.7802,7.0470
2314.00,"","","",21.7807,7.0473
2316.00,"","","",21.7811,7.0478
2318.00,"","","",21.6394,7.0483
2320.00,"","","",21.6399,7.0490
2322.00,"","","",21.6405,7.0495
2324.00,"","","",21.6412,7.0498
2326.00,"","","",21.7838,7.0502
2328.00,"","","",21.7842,7.1996
2330.00,"","","",21.7847,7.2000
2332.00,"","","",21.7852,7.2003
2334.00,"","","",21.7857,7.2006
2336.00,"","","",21.7861,7.2010
2338.00,"","","",21.6445,7.2014
2340.00,"","","",21.7873,7.2019
2342.00,"","","",21.7878,7.0533
2344.00,"","","",21.7882,7.0536
2346.00,"","","",21.7887,7.0538
2348.00,"","","",21.7892,7.0541
2350.00,"","","",21.9319,6.9057
2352.00,"","","",21.7902,6.9059
2354.00,"","","",21.7906,6.9060
2356.00,"","","",21.7912,6.9064
2358.00,"","","",21.7916,6.9069
2360.00,"","","",21.7921,6.7585
2362.00,"","","",21.7924,6.7587
2364.00,"","","",21.6507,6.7590
2366.00,"","","",21.6512,6.7597
2368.00,"","","",21.6519,6.7600
2370.00,"","","",21.6525,6.7603
2372.00,"","","",21.6530,6.7605
2374.00,"","","",21.6534,6.7608
2376.00,"","","",21.6538,6.6123
2378.00,"","","",21.6543,6.6132
2380.00,"","","",21.6550,6.6137
2382.00,"","","",21.6555,6.6140
2384.00,"","","",21.6559,6.6144
2386.00,"","","",21.7985,6.7633
2388.00,"","","",21.7990,6.6146
2390.00,"","","",21.7994,6.6149
2392.00,"","","",21.8001,6.6154
2394.00,"","","",21.8007,6.4670
2396.00,"","","",21.8012,6.4677
2398.00,"","","",21.8016,6.4680
2400.00,"","","",21.6597,6.4682
2402.00,"","","",21.6602,6.4684
2404.00,"","","",21.6607,6.4689
2406.00,"","","",21.6613,6.4695
2408.00,"","","",21.6618,6.6186
2410.00,"","","",21.6623,6.6192
2412.00,"","","",21.6627,6.7688
2414.00,"","","",21.6633,6.7691
2416.00,"","","",21.6638,6.7693
2418.00,"","","",21.6643,6.9183
2420.00,"","","",21.6648,6.9184
2422.00,"","","",21.6652,6.9186
2424.00,"","","",21.6656,6.9191
2426.00,"","","",21.6663,6.9197
2428.00,"","","",21.6669,6.9202
2430.00,"","","",21.6673,7.0697
2432.00,"","","",21.6677,7.0702
2434.00,"","","",21.6681,7.0706
2436.00,"","","",21.6687,7.2199
2438.00,"","","",21.6692,7.2201
2440.00,"","","",21.6696,7.2204
2442.00,"","","",21.6700,7.2208
2444.00,"","","",21.5284,7.2211
2446.00,"","","",21.5290,7.2215
2448.00,"","","",21.5294,7.2218
2450.00,"","","",21.5299,7.2220
2452.00,"","","",21.5305,7.2227
2454.00,"","","",21.5310,7.2231
2456.00,"","","",21.5314,7.2234
2458.00,"","","",21.5318,7.2235
2460.00,"","","",21.3901,7.2238
2462.00,"","","",21.3906,7.2242
2464.00,"","","",21.3910,7.2247
2466.00,"","","",21.3916,7.2252
2468.00,"","","",21.3922,7.0765
2470.00,"","","",21.3927,7.0769
2472.00,"","","",21.3933,7.0775
2474.00,"","","",21.3938,7.0779
2476.00,"","","",21.5363,7.0782
2478.00,"","","",21.5367,7.0784
2480.00,"","","",21.5372,6.9297
2482.00,"","","",21.3954,6.9298
2484.00,"","","",21.3959,6.7813
2486.00,"","","",21.3966,6.7819
2488.00,"","","",21.3972,6.6334
2490.00,"","","",21.3977,6.6338
2492.00,"","","",21.3980,6.6343
2494.00,"","","",21.3984,6.6346
2496.00,"","","",21.3989,6.6351
2498.00,"","","",21.3995,6.6355
2500.00,"","","",21.4001,6.6361
2502.00,"","","",21.4006,6.6363
2504.00,"","","",21.4010,6.6366
2506.00,"","","",21.4014,6.4884
2508.00,"","","",21.4018,6.6379
2510.00,"","","",21.4023,6.6382
2512.00,"","","",21.4028,6.6386
2514.00,"","","",21.4034,6.7878
2516.00,"","","",21.4039,6.7881
2518.00,"","","",21.4042,6.7883
2520.00,"","","",21.4049,6.7886
2522.00,"","","",21.4054,6.9377
2524.00,"","","",21.4058,6.9381
2526.00,"","","",21.4062,6.9383
2528.00,"","","",21.4066,6.7896
2530.00,"","","",21.4071,6.7899
2532.00,"","","",21.4076,6.7905
2534.00,"","","",21.4082,6.7912
2536.00,"","","",21.4087,6.9406
2538.00,"","","",21.4092,6.9408
2540.00,"","","",21.2675,6.9410
2542.00,"","","",21.2681,6.9411
2544.00,"","","",21.2685,6.7923
2546.00,"","","",21.2691,6.7925
2548.00,"","","",21.2695,6.7931
2550.00,"","","",21.2698,6.6447
2552.00,"","","",21.2703,6.6453
2554.00,"","","",21.2708,6.6456
2556.00,"","","",21.2714,6.6458
2558.00,"","","",21.2720,6.6464
2560.00,"","","",21.2724,6.6469
2562.00,"","","",21.2728,6.6473
2564.00,"","","",21.2733,6.6477
2566.00,"","","",21.1316,6.6481
2568.00,"","","",21.2743,6.6485
2570.00,"","","",21.2748,6.5000
2572.00,"","","",21.2753,6.5004
2574.00,"","","",21.2757,6.5006
2576.00,"","","",21.2761,6.5010
2578.00,"","","",21.2766,6.5015
2580.00,"","","",21.2771,6.5017
2582.00,"","","",21.2776,6.5020
2584.00,"","","",21.2782,6.5023
2586.00,"","","",21.2787,6.5028
2588.00,"","","",21.2792,6.6521
2590.00,"","","",21.2796,6.6523
2592.00,"","","",21.2799,6.6527
2594.00,"","","",21.2806,6.6532
2596.00,"","","",21.2813,6.8023
2598.00,"","","",21.2817,6.8027
2600.00,"","","",21.4244,6.8031
2602.00,"","","",21.4249,6.8036
2604.00,"","","",21.4253,6.8041
2606.00,"","","",21.4257,6.9533
2608.00,"","","",21.4262,6.8045
2610.00,"","","",21.4266,6.8048
2612.00,"","","",21.4271,6.8052
2614.00,"","","",21.4276,6.8055
2616.00,"","","",21.4280,6.8057
2618.00,"","","",21.4285,6.8061
2620.00,"","","",21.4290,6.8065
2622.00,"","","",21.4297,6.8069
2624.00,"","","",21.4302,6.8073
2626.00,"","","",21.5729,6.8079
2628.00,"","","",21.5734,6.6593
2630.00,"","","",21.5737,6.6595
2632.00,"","","",21.5741,6.6597
2634.00,"","","",21.5745,6.5110
2636.00,"","","",21.5752,6.5117
2638.00,"","","",21.5757,6.5124
2640.00,"","","",21.5762,6.5127
2642.00,"","","",21.5766,6.5130
2644.00,"","","",21.5771,6.5133
2646.00,"","","",21.5775,6.5137
2648.00,"","","",21.5780,6.5139
2650.00,"","","",21.5784,6.5142
2652.00,"","","",21.5790,6.5146
2654.00,"","","",21.5795,6.5150
2656.00,"","","",21.5800,6.5153
2658.00,"","","",21.4384,6.5157
2660.00,"","","",21.4388,6.5161
2662.00,"","","",21.4394,6.5164
2664.00,"","","",21.4398,6.5168
2666.00,"","","",21.4403,6.5173
2668.00,"","","",21.4407,6.5178
2670.00,"","","",21.4411,6.5181
2672.00,"","","",21.2993,6.5184
2674.00,"","","",21.2999,6.6677
2676.00,"","","",21.3005,6.6681
2678.00,"","","",21.1588,6.6686
2680.00,"","","",21.3015,6.6692
2682.00,"","","",21.3020,6.8184
2684.00,"","","",21.3026,6.8184
2686.00,"","","",21.3031,6.8187
2688.00,"","","",21.3034,6.8192
2690.00,"","","",21.3037,6.8196
2692.00,"","","",21.1620,6.9687
2694.00,"","","",21.1626,6.9690
2696.00,"","","",21.1631,6.9695
2698.00,"","","",21.1637,6.9699
2700.00,"","","",21.0221,6.9701
2702.00,"","","",21.1647,6.9706
2704.00,"","","",21.1653,6.9710
2706.00,"","","",21.1657,6.9713
2708.00,"","","",21.1661,6.9719
2710.00,"","","",21.1666,6.9722
2712.00,"","","",21.1671,6.9727
2714.00,"","","",21.1675,6.9731
2716.00,"","","",21.1681,6.9733
2718.00,"","","",21.1685,6.9736
2720.00,"","","",21.1689,6.9740
2722.00,"","","",21.1693,6.9745
2724.00,"","","",21.1700,6.9747
2726.00,"","","",21.1705,6.9750
2728.00,"","","",21.1709,6.9752
2730.00,"","","",21.1714,6.9758
2732.00,"","","",21.1720,6.9762
2734.00,"","","",21.3146,6.9766
2736.00,"","","",21.3150,6.9771
2738.00,"","","",21.3156,6.9776
2740.00,"","","",21.3161,6.9781
2742.00,"","","",21.3164,6.9787
2744.00,"","","",21.3169,6.9788
2746.00,"","","",21.4596,6.9790
2748.00,"","","",21.4601,6.9794
2750.00,"","","",21.4605,6.9799
2752.00,"","","",21.3189,6.9803
2754.00,"","","",21.3193,7.1297
2756.00,"","","",21.3197,7.1300
2758.00,"","","",21.3202,7.1300
2760.00,"","","",21.3207,7.1300
2762.00,"","","",21.1790,7.1302
2764.00,"","","",21.1795,6.9818
2766.00,"","","",21.3221,6.9822
2768.00,"","","",21.3226,6.9825
2770.00,"","","",21.1809,6.8341
2772.00,"","","",21.1814,6.8347
2774.00,"","","",21.0397,6.8353
2776.00,"","","",21.0401,6.8358
2778.00,"","","",21.0404,6.8361
2780.00,"","","",20.8987,6.8365
2782.00,"","","",20.8994,6.8366
2784.00,"","","",20.9001,6.8368
2786.00,"","","",20.9007,6.8372
2788.00,"","","",21.0432,6.8378
2790.00,"","","",21.0438,6.8382
2792.00,"","","",21.0442,6.8386
2794.00,"","","",21.0446,6.8390
2796.00,"","","",21.0449,6.8392
2798.00,"","","",20.9033,6.8393
2800.00,"","","",20.9037,6.6906
2802.00,"","","",20.9043,6.6912
2804.00,"","","",20.9048,6.6918
2806.00,"","","",20.9053,6.6923
2808.00,"","","",20.9056,6.6927
2810.00,"","","",20.7640,6.6931
2812.00,"","","",20.7645,6.6933
2814.00,"","","",20.7649,6.6937
2816.00,"","","",20.7653,6.6941
2818.00,"","","",20.7660,6.6944
2820.00,"","","",20.9087,6.6948
2822.00,"","","",20.9091,6.6953
2824.00,"","","",20.9096,6.8446
2826.00,"","","",20.9102,6.8451
2828.00,"","","",21.0528,6.8453
2830.00,"","","",21.0534,6.8457
2832.00,"","","",21.1959,6.9950
2834.00,"","","",21.1963,6.9955
2836.00,"","","",21.1967,7.1446
2838.00,"","","",21.1971,7.1451
2840.00,"","","",21.1977,7.1455
2842.00,"","","",21.1983,7.1458
2844.00,"","","",21.1986,7.1462
2846.00,"","","",21.1991,7.1465
2848.00,"","","",21.1996,7.1469
2850.00,"","","",21.2002,7.1471
2852.00,"","","",21.3428,7.1474
2854.00,"","","",21.3432,7.1478
2856.00,"","","",21.2014,7.1482
2858.00,"","","",21.2021,7.1484
2860.00,"","","",21.2025,7.1488
2862.00,"","","",21.2030,7.1491
2864.00,"","","",21.2034,7.0006
2866.00,"","","",21.2039,7.0013
2868.00,"","","",21.2043,7.0018
2870.00,"","","",21.2048,7.1511
2872.00,"","","",21.2054,7.1513
2874.00,"","","",21.2059,7.1515
2876.00,"","","",21.2063,7.0029
2878.00,"","","",21.2068,7.0032
2880.00,"","","",21.2073,7.0036
2882.00,"","","",21.2078,6.8554
2884.00,"","","",21.2083,6.8559
2886.00,"","","",21.2089,6.8561
2888.00,"","","",21.2094,6.8565
2890.00,"","","",21.2097,6.8570
2892.00,"","","",21.2101,6.8574
2894.00,"","","",21.2104,6.8579
2896.00,"","","",21.0689,6.8581
2898.00,"","","",21.0693,6.8581
2900.00,"","","",20.9275,6.8585
2902.00,"","","",20.9281,6.8590
2904.00,"","","",20.9286,6.8593
2906.00,"","","",20.9291,6.8595
2908.00,"","","",20.9296,6.7112
2910.00,"","","",20.9301,6.7117
2912.00,"","","",20.9306,6.8610
2914.00,"","","",20.9311,6.8614
2916.00,"","","",20.9314,6.8616
2918.00,"","","",20.9317,6.8618
2920.00,"","","",20.7902,6.8623
2922.00,"","","",20.7908,6.8625
2924.00,"","","",20.9335,6.8628
2926.00,"","","",20.9340,6.8631
2928.00,"","","",20.9345,6.8636
2930.00,"","","",20.9349,6.8638
2932.00,"","","",20.9354,6.7153
2934.00,"","","",20.9358,6.7157
2936.00,"","","",20.9363,6.7163
2938.00,"","","",20.9367,6.7167
2940.00,"","","",20.9371,6.7172
2942.00,"","","",20.9376,6.7176
2944.00,"","","",20.9382,6.7178
2946.00,"","","",20.7965,6.7181
2948.00,"","","",20.7971,6.7186
